result,pnl,tick,time_window,entry,date,month
TIMEOUT,-6928.616,3,15,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,3,20,986.0,2024-10-04,2024-10
TIMEOUT,-3928.616,3,30,986.0,2024-10-04,2024-10
TIMEOUT,-8928.616,5,5,986.0,2024-10-04,2024-10
TIMEOUT,-7928.616,5,10,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,5,15,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,5,20,986.0,2024-10-04,2024-10
TIMEOUT,-3928.616,5,30,986.0,2024-10-04,2024-10
TIMEOUT,-8928.616,8,5,986.0,2024-10-04,2024-10
TIMEOUT,-7928.616,8,10,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,8,15,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,8,20,986.0,2024-10-04,2024-10
TIMEOUT,-3928.616,8,30,986.0,2024-10-04,2024-10
TIMEOUT,-8928.616,10,5,986.0,2024-10-04,2024-10
TIMEOUT,-7928.616,10,10,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,10,15,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,10,20,986.0,2024-10-04,2024-10
TIMEOUT,-3928.616,10,30,986.0,2024-10-04,2024-10
TIMEOUT,-8928.616,15,5,986.0,2024-10-04,2024-10
TIMEOUT,-7928.616,15,10,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,15,15,986.0,2024-10-04,2024-10
TIMEOUT,-6928.616,15,20,986.0,2024-10-04,2024-10
TIMEOUT,-3928.616,15,30,986.0,2024-10-04,2024-10
TP,-942.308,1,5,993.0,2024-10-07,2024-10
TP,-942.308,1,10,993.0,2024-10-07,2024-10
TP,-942.308,1,15,993.0,2024-10-07,2024-10
TP,-942.308,1,20,993.0,2024-10-07,2024-10
TP,-942.308,1,30,993.0,2024-10-07,2024-10
TIMEOUT,-1942.308,2,5,993.0,2024-10-07,2024-10
TP,57.69200000000001,2,10,993.0,2024-10-07,2024-10
TP,57.69200000000001,2,15,993.0,2024-10-07,2024-10
TP,57.69200000000001,2,20,993.0,2024-10-07,2024-10
TP,57.69200000000001,2,30,993.0,2024-10-07,2024-10
TIMEOUT,-1942.308,3,5,993.0,2024-10-07,2024-10
TP,1057.692,3,10,993.0,2024-10-07,2024-10
TP,1057.692,3,15,993.0,2024-10-07,2024-10
TP,1057.692,3,20,993.0,2024-10-07,2024-10
TP,1057.692,3,30,993.0,2024-10-07,2024-10
TIMEOUT,-1942.308,5,5,993.0,2024-10-07,2024-10
TP,3057.692,5,10,993.0,2024-10-07,2024-10
TP,3057.692,5,15,993.0,2024-10-07,2024-10
TP,3057.692,5,20,993.0,2024-10-07,2024-10
TP,3057.692,5,30,993.0,2024-10-07,2024-10
TIMEOUT,-1942.308,8,5,993.0,2024-10-07,2024-10
TIMEOUT,3057.692,8,10,993.0,2024-10-07,2024-10
TP,6057.692,8,15,993.0,2024-10-07,2024-10
TP,6057.692,8,20,993.0,2024-10-07,2024-10
TP,6057.692,8,30,993.0,2024-10-07,2024-10
TIMEOUT,-1942.308,10,5,993.0,2024-10-07,2024-10
TIMEOUT,3057.692,10,10,993.0,2024-10-07,2024-10
TP,8057.692,10,15,993.0,2024-10-07,2024-10
TP,8057.692,10,20,993.0,2024-10-07,2024-10
TP,8057.692,10,30,993.0,2024-10-07,2024-10
TIMEOUT,-1942.308,15,5,993.0,2024-10-07,2024-10
